"time","metric","placement","country","value"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2012035409023779","US","9"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2077623579131628","JP","28"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","1927257130834941","JP","22"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2047828492111137","JP","391"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2047828385444481","US","170"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","1908827462677908","US","697"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2109179875975998","JP","7427"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2195184610708857","JP","383"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2126361627591156","US","190754"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2211942962366355","JP","1632"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","1927257060834948","JP","20"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","1927257130834941","US","154"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","1911605435733444","JP","27"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2211942962366355","US","541"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2077623415798311","US","440"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2218904338336884","US","996"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2061844164042903","JP","7"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2211942359033082","JP","592"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","1927257060834948","US","227"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2047828492111137","US","7539"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2109179755976010","JP","27"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","1925773687649952","JP","2"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2077623579131628","US","397"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2195184610708857","US","6010"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2061844277376225","JP","2"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","1949078695319451","JP","219"
"2018-04-01T07:00:00+0000","fb_ad_network_imp","2211942792366372","JP","386"
